task,arm,n,successes,mean_final_score,mean_score_auc,execution_error_rate,adapt_selection_rate,operational_failures
all,baseline,10,0,4.3,9.55,0.525,0.0,0
all,warm_frozen,10,0,0.0,0.0,0.325,1.0,0
all,domain_only,10,0,0.9,1.35,0.35,1.0,0
all,memory_only,10,0,0.9,1.95,0.55,0.0,0
iron_ore_throughput,baseline,5,0,8.6,19.1,0.55,0.0,0
iron_ore_throughput,warm_frozen,5,0,0.0,0.0,0.25,1.0,0
iron_ore_throughput,domain_only,5,0,1.8,2.7,0.2,1.0,0
iron_ore_throughput,memory_only,5,0,1.8,3.9,0.55,0.0,0
iron_gear_wheel_throughput,baseline,5,0,0.0,0.0,0.5,0.0,0
iron_gear_wheel_throughput,warm_frozen,5,0,0.0,0.0,0.4,1.0,0
iron_gear_wheel_throughput,domain_only,5,0,0.0,0.0,0.5,1.0,0
iron_gear_wheel_throughput,memory_only,5,0,0.0,0.0,0.55,0.0,0
